time_index,mean_abs_gradient,mean_signed_gradient,finite_difference_response
0,4.654224010534692e-05,-2.8008063894548384e-05,
1,9.906911454241449e-05,3.320706697478621e-05,
2,6.240665288714808e-05,-4.455884728419132e-05,
3,4.7237649401462735e-05,2.3599631334723726e-05,
4,6.0487139080578345e-05,-6.38462083024649e-06,
5,4.74288865624268e-05,8.23324080556532e-06,
6,5.2952494131984296e-05,1.5882195908645258e-05,
7,5.921361924622813e-05,-6.306512737808134e-06,
8,5.114379286754099e-05,3.8238114772834054e-05,
9,4.250163912696995e-05,-2.3407651524389094e-05,
10,8.374501589969441e-05,6.265670661166821e-06,
11,7.923098798658299e-05,-3.0527255755189285e-05,
12,0.00010328712824048125,-1.825038204701051e-05,
13,6.470941392373268e-05,4.0223565598423204e-05,
14,5.266049312727513e-05,-3.0493148899365545e-05,
15,8.145532241802098e-05,2.5199311832123173e-05,
16,5.1724003031137856e-05,-2.827356851448875e-05,
17,4.3178701275792264e-05,3.4610204751674345e-06,
18,5.943289566598001e-05,1.3362419669046435e-05,
19,8.61385198861951e-05,-4.968358210621915e-05,
20,8.732516127046048e-05,2.5929781218498554e-05,
21,3.298171530527075e-05,-2.578238817234941e-06,
22,0.00010086136977146712,5.769144777291656e-05,
23,6.287872672926045e-05,3.413424172750622e-05,
24,3.9464312197066776e-05,-6.704468483625143e-06,
25,0.00010926193544946727,7.187987209127706e-05,
26,5.099551661455085e-05,-2.8362861547646745e-06,
27,9.274494381575746e-05,-2.2431620004275438e-05,
28,5.6893141277214454e-05,-1.950177063646054e-05,
29,5.918503867568299e-05,-2.803667510699524e-05,
30,3.688378342303622e-05,6.388043143917039e-06,
31,6.028793615899174e-05,-2.6679235092379778e-05,
32,3.552507165035682e-05,-1.8422599012016656e-05,
33,6.489162750053115e-05,-3.0978868290938114e-06,
34,5.886712525742561e-05,2.0095305405349556e-05,
35,4.396557106442093e-05,-1.948933497126453e-06,
36,4.842016333636171e-05,1.2334604337915778e-06,
37,8.300364132602616e-05,-9.639746975510985e-06,
38,3.903521344942159e-05,-1.8331782461356028e-05,
39,4.624775010597659e-05,6.366813948436142e-06,
40,7.335983697690349e-05,-5.166827521918549e-05,
41,4.4927287376594904e-05,1.4169184319306233e-05,
42,4.109584338201395e-05,-1.5448118714139212e-05,
43,6.170574007618208e-05,1.2861872693495765e-05,
44,5.899950341310094e-05,8.286968293294958e-06,
45,7.200015959694741e-05,-4.144674925044001e-06,
46,6.794611499572056e-05,2.847927418260708e-05,
