time_index,mean_abs_gradient,mean_signed_gradient,finite_difference_response
0,0.00024256011931270006,-5.157798597110741e-05,
1,3.2818219031988906e-05,9.956538274228219e-06,
2,2.9488383298874915e-05,1.169684287763825e-05,
3,1.880190713910408e-05,5.461729107499498e-06,
4,3.336316153547072e-05,-3.420619064188811e-06,
5,2.5829019402105285e-05,6.578258099343955e-06,
6,6.170621426939587e-05,2.8924961466849537e-06,
7,5.902352317900208e-05,-9.270230397497753e-06,
8,5.929175211436121e-05,-1.261880411481305e-05,
9,3.3812423572228345e-05,-2.460423441705405e-06,
10,4.4842634657643864e-05,-4.317085960841334e-06,
11,3.1396638600459224e-05,-5.114476741801306e-06,
12,2.5958838310067395e-05,3.7964972744389127e-07,
13,4.280470882024799e-05,4.042889436223482e-06,
14,4.952437322052512e-05,7.640520602911866e-06,
15,3.328089122165e-05,-1.589510097131454e-06,
16,3.5897760015012904e-05,1.5256720735022457e-06,
17,2.5933933632889723e-05,3.6909751878781773e-06,
18,4.035104839637088e-05,8.538224613679242e-07,
19,4.78080738676432e-05,-1.5179962815636827e-06,
20,4.1189741620785624e-05,-1.7058438531355098e-06,
21,4.083147129157234e-05,5.134982443890022e-06,
22,3.5154688768151186e-05,4.3631281488929055e-06,
23,3.082696927473686e-05,3.1532811490819768e-06,
24,2.8619721964181128e-05,4.246147002937678e-06,
25,4.157865953943872e-05,-3.6052761311382366e-06,
26,4.699404120228359e-05,-1.1418065301291962e-06,
27,4.563002535394931e-05,-3.819365608456352e-06,
28,3.8264313757064795e-05,-5.19742391034245e-06,
29,3.484482149793794e-05,-5.609502560486947e-06,
30,3.971072723765073e-05,-5.316767707071113e-06,
31,5.337259579261756e-05,5.902342956398159e-06,
32,4.969835639539746e-05,4.158491598056051e-06,
33,4.779318959706524e-05,3.942439396572202e-06,
34,4.4928168043562824e-05,1.0134795332591059e-05,
35,3.988309861467444e-05,7.924611323468461e-06,
36,3.919175642728251e-05,9.575918623806415e-06,
37,6.407131390265672e-05,-5.973274308026416e-06,
38,7.792797710169994e-05,-7.935489485078051e-06,
