window,origin_a,origin_b,disagreement_objective,gradient_l2,head_delta_l2,direct_prediction_delta_l2,head_delta_residual_mse,head_reconstruction_relative_error,raw_reconstruction_relative_error
0,0,6,0.004119984805583954,0.012179480865597725,2.8819940090179443,2.8819940090179443,2.9287718456775646e-15,8.431308060607989e-07,8.431308060607989e-07
1,0,6,0.006371582858264446,0.014703392051160336,3.584007501602173,3.584007501602173,2.897897918266619e-15,6.744004963366024e-07,6.744004963366024e-07
2,0,6,0.005188076291233301,0.015347367152571678,3.234062671661377,3.234062671661377,2.848936661058242e-15,7.410341140712262e-07,7.410341140712262e-07
3,0,6,0.005612163804471493,0.01539604552090168,3.363646984100342,3.363647222518921,2.911002788510064e-15,7.202050369414792e-07,7.202050369414792e-07
4,0,6,0.004633493255823851,0.01518822368234396,3.0563247203826904,3.0563249588012695,3.2723718195224556e-15,8.403825972891354e-07,8.403825972891354e-07
5,0,6,0.006592378485947847,0.01713019795715809,3.6455774307250977,3.6455774307250977,3.0358884792202907e-15,6.786124799873505e-07,6.786124799873505e-07
6,0,6,0.006937352009117603,0.01940060593187809,3.73974609375,3.73974609375,3.104532241024016e-15,6.689616043331625e-07,6.689616043331625e-07
7,0,6,0.007128311321139336,0.017588891088962555,3.7908670902252197,3.7908670902252197,2.9717075222574114e-15,6.456687060563127e-07,6.456687060563127e-07
8,0,6,0.004636669065803289,0.013567179441452026,3.0573720932006836,3.0573720932006836,3.11728961600085e-15,8.199465355573921e-07,8.199465355573921e-07
9,0,6,0.006619214545935392,0.016588058322668076,3.6529898643493652,3.6529898643493652,2.9801755223893495e-15,6.709925060022215e-07,6.709925060022215e-07
10,0,6,0.0051438892260193825,0.015634581446647644,3.2202606201171875,3.2202606201171875,3.2531890643659874e-15,7.95259495589562e-07,7.95259495589562e-07
11,0,6,0.005615898873656988,0.01708083041012287,3.3647661209106445,3.3647661209106445,3.4548637974589737e-15,7.84342660153925e-07,7.84342660153925e-07
12,0,6,0.008279051631689072,0.020059669390320778,4.085409164428711,4.085409164428711,3.738140625899255e-15,6.719508292007959e-07,6.719508292007959e-07
13,0,6,0.005818683188408613,0.015317284502089024,3.4249768257141113,3.4249765872955322,4.070958082083836e-15,8.364422114937042e-07,8.364422114937042e-07
