window,origin_a,origin_b,disagreement_objective,gradient_l2,head_delta_l2,direct_prediction_delta_l2,head_delta_residual_mse,head_reconstruction_relative_error,raw_reconstruction_relative_error
0,0,6,446.29766845703125,2.293673276901245,24.687602996826172,948.544189453125,3.186999830706583e-10,7.843767093618226e-07,8.450427912976011e-07
1,0,6,414.2589416503906,2.3814404010772705,22.106908798217773,913.8632202148438,3.1332833549946315e-10,8.172256684702006e-07,8.696887903170136e-07
2,0,6,500.6071472167969,3.960298538208008,23.008106231689453,1004.6014404296875,3.0854649391010014e-10,7.968628779053688e-07,7.85076110787486e-07
3,0,6,553.8914184570312,3.322547674179077,25.298538208007812,1056.7142333984375,2.958209510683929e-10,7.454461865563644e-07,7.308061071853444e-07
4,0,6,566.1296997070312,2.8600730895996094,25.646556854248047,1068.3245849609375,5.293743221557179e-10,7.472683023479476e-07,9.669934115663636e-07
5,0,6,410.6305236816406,2.6194772720336914,23.9448299407959,909.8521728515625,5.087022469929536e-10,7.737525606898998e-07,1.1130283610327751e-06
6,0,6,317.6168212890625,3.5738749504089355,23.60280418395996,800.1971435546875,2.7672236724285426e-10,7.646348194612074e-07,9.334056016996328e-07
7,0,6,378.5038146972656,4.221004962921143,23.94992446899414,873.53515625,2.725102921097289e-10,7.37201958145306e-07,8.4850876191922e-07
8,0,6,288.5355529785156,4.449344158172607,24.505340576171875,762.6844482421875,2.7008040248688303e-10,7.260626375682477e-07,9.674909051682334e-07
9,0,6,508.2378234863281,5.720664978027344,25.582666397094727,1012.2289428710938,5.148986792491428e-10,7.127904950721131e-07,1.006531533676025e-06
10,0,6,307.37786865234375,6.087222099304199,25.255516052246094,787.193603515625,3.9251532579775983e-10,7.2575664944452e-07,1.1300352298349026e-06
11,0,6,569.86669921875,8.00422191619873,24.645854949951172,1071.8448486328125,3.254701508303981e-10,7.345866492869391e-07,7.557339358754689e-07
12,0,6,488.6681213378906,4.377173900604248,24.1503963470459,992.5496826171875,3.06703912267281e-10,7.314046683859488e-07,7.922324698483862e-07
13,0,6,368.8951110839844,2.881833553314209,29.060440063476562,862.3761596679688,2.519940645040464e-10,6.515419954666868e-07,8.265015480901639e-07
14,0,6,540.1978149414062,3.6398870944976807,31.21043586730957,1043.5701904296875,3.700224571190347e-10,5.933248417022696e-07,8.276326752820751e-07
15,0,6,542.1136474609375,3.595896005630493,31.103599548339844,1045.4189453125,2.951464350697819e-10,6.358670816553058e-07,7.378594659712689e-07
16,0,6,504.9850158691406,3.560622215270996,30.859582901000977,1008.9844970703125,3.1217467499899954e-10,6.37355128674244e-07,7.86248165240977e-07
17,0,6,484.1060485839844,3.0007879734039307,30.657081604003906,987.90576171875,4.146248344660819e-10,6.683160336251603e-07,9.254594033336616e-07
18,0,6,538.8825073242188,3.1153299808502197,27.90673065185547,1042.2989501953125,3.128412806585601e-10,7.585874755022814e-07,7.619298116878781e-07
