layer,window_id,origin,stratum,forecast_mse,pc1,pc2,pc3
layer0,515,0,0,0.08810197561979294,-0.2631932288493584,-0.3448533208727502,0.09909434562728593
layer0,614,0,0,0.09313692897558212,-0.2567867434290547,-0.14347186609745527,-0.2657075236823674
layer0,732,0,0,0.05591462925076485,-0.19189147834492692,-0.38801857649156185,-0.05729513485748214
layer0,818,0,0,0.08699125796556473,-0.1326704940435098,-0.18401886814200083,-0.35329871358432247
layer0,974,0,0,0.07443465292453766,0.0776172891922635,-0.1656603507953872,-0.3211907337971424
layer0,1283,0,0,0.0852089375257492,0.32637669908555034,-0.5503807833724621,0.062031314089807575
layer0,1299,0,0,0.08592375367879868,0.24001914796402926,0.2005272239146903,-0.43613641456166335
layer0,1514,0,0,0.09030637890100479,0.1511258410799361,-0.14603580311536174,-0.5247541368539481
layer0,1629,0,0,0.07725700736045837,0.26060501526527535,-0.11367701499970129,0.542912648324032
layer0,1630,0,0,0.061657700687646866,0.2949581585720315,-0.4034840848267668,0.36212324037934013
layer0,1667,0,0,0.07794439792633057,0.4566088910496725,-0.5557896069918045,0.11649480827186055
layer0,3022,0,0,0.08445589989423752,-0.9023652861718292,0.20982508679365938,0.8475904742015196
layer0,3132,0,0,0.0741678923368454,-1.1122081642337838,-0.6550259813240575,0.4794710029336136
layer0,3237,0,0,0.058089807629585266,-1.3300348146720746,0.38944802290550057,0.44949974931513936
layer0,3240,0,0,0.05561278015375137,-1.1425108676833633,-0.5261812854177361,0.3344054002052999
layer0,3269,0,0,0.09461358934640884,-1.2183465043141577,0.1706023047599164,-0.48117779354492307
layer0,3515,0,0,0.06243618577718735,-0.702456812916982,-0.4319495211131443,0.10606351757037495
layer0,3599,0,0,0.07831751555204391,-0.29580123279194276,-0.45176319407448684,0.03619611265373211
layer0,4716,0,0,0.08979746699333191,-0.5950589190236402,-0.4253451646550051,-0.30680055054721445
layer0,4776,0,0,0.08740780502557755,-0.6702733698111272,-0.37229134900767136,-0.27937684602285967
layer0,5253,0,0,0.07152901589870453,0.6761990474006427,-0.32338708173157654,0.263638662485352
layer0,5256,0,0,0.07499679923057556,0.7171958967027748,-0.18582782909585963,-0.34158636699683564
layer0,5422,0,0,0.08284489810466766,1.0153111560115362,-0.4445181410911333,0.030581437799698998
layer0,5759,0,0,0.05523794889450073,1.2065747964134166,-0.5340659067062956,-0.044223764584313915
layer0,485,0,1,0.10887666046619415,-0.39097768455329146,0.32298400875473915,-0.09348535633739571
layer0,775,0,1,0.1297258734703064,-0.3026476014169676,0.35183600518328106,0.20840635813137665
layer0,1227,0,1,0.12399803102016449,0.1411408900806967,0.19975071639439346,-0.5053727590893693
layer0,1235,0,1,0.10250509530305862,0.26966615482926487,-0.5901591049487331,0.08593392600941238
layer0,1417,0,1,0.11559368669986725,0.3232786585050397,-0.3852688066673096,-0.43391308853790145
layer0,1720,0,1,0.09886251389980316,0.3000689637318597,0.37460812220171835,-0.33363901382469485
layer0,1893,0,1,0.10740203410387039,0.2625063751664248,-0.05250331935429635,0.3899249114186472
layer0,2018,0,1,0.11050130426883698,0.4336713169852617,-0.1473748400644208,-0.32640850361012747
layer0,2118,0,1,0.12367060035467148,0.477553075787223,0.43325286805678015,0.03689034566780029
layer0,2319,0,1,0.10915116220712662,0.6963181974600097,0.014998251401361589,-0.3825663971523494
layer0,2355,0,1,0.12068819999694824,0.7061097491957782,0.011415205625233687,-0.34664443334555706
layer0,2364,0,1,0.11271567642688751,0.7636740640725351,-0.3495259792516586,0.007081541168355835
layer0,2528,0,1,0.12592288851737976,0.7522916873167379,0.3164508228995471,0.2567014474344559
layer0,2553,0,1,0.12361574172973633,0.6795364855700425,0.20522872594251057,0.412153250609706
layer0,2671,0,1,0.12466714531183243,0.3360435593100273,0.6835233587162415,-0.07256592953350728
layer0,2683,0,1,0.10115911811590195,0.28280999191193545,0.667712018333422,-0.0703102649400186
layer0,3604,0,1,0.11366451531648636,-0.3959646815483483,0.31313060884306626,-0.23125810787088003
layer0,3626,0,1,0.10852929949760437,-0.36036509330328304,-0.08335885697272927,-0.3621712589059722
layer0,5103,0,1,0.13337883353233337,0.028519965247776103,0.38854728302403724,-0.3055877571724836
layer0,5132,0,1,0.09770754724740982,0.14484724358848078,-0.15158217004810604,0.4161415341864949
layer0,5282,0,1,0.12101559340953827,0.8574414525912529,0.2842279486684052,-0.3123063124793682
layer0,5393,0,1,0.11291822046041489,0.9161098376870499,0.4669565280758116,0.1682922283777069
layer0,5476,0,1,0.1311182826757431,0.8628697532837295,0.5392883947218078,-0.10479179929467565
layer0,5770,0,1,0.13059554994106293,1.164570571701274,-0.4529986248651368,0.20244092749317338
layer0,379,0,2,0.14347994327545166,-0.4431928251932184,0.2393006252473545,0.16162538668425094
layer0,463,0,2,0.16470016539096832,-0.4533088547879267,0.26325672922253346,0.19928760028921774
layer0,1170,0,2,0.1435490995645523,0.02909358297086926,0.5757093940153636,0.1485134247065492
layer0,2552,0,2,0.13584178686141968,0.7162425225772853,0.35915273540760784,0.2654559019371755
layer0,2705,0,2,0.20746031403541565,0.33891854020755174,0.29817297642033425,-0.5426831018247505
layer0,3363,0,2,0.16852892935276031,-1.1451964215215418,-0.2629316109180054,-0.4761988704852755
layer0,3365,0,2,0.20797647535800934,-1.1658028722031952,0.25695369224022296,-0.3534950513585826
layer0,3978,0,2,0.18775972723960876,0.20837587804712598,0.49750007831606086,0.28046998962135883
layer0,4026,0,2,0.23954759538173676,0.15380657010176535,0.48861791948768507,0.27538476514607896
layer0,4198,0,2,0.20986534655094147,-0.10678695253186872,-0.5384198125429083,0.23561692638036813
layer0,4374,0,2,0.17497222125530243,-0.8400770474131455,0.42730399102847955,0.20144017324947433
layer0,4406,0,2,0.19186362624168396,-0.8734911293346053,-0.0369767181194773,-0.418272521712166
layer0,4409,0,2,0.21145819127559662,-0.8548649901594201,0.4936878964133359,0.07389835984296868
layer0,4435,0,2,0.16583222150802612,-0.9070209768471399,0.21936280330410712,0.3709115035530873
layer0,4481,0,2,0.1734115034341812,-0.8252162137046362,0.5043490373814392,0.06992863157409544
