dataset,seed,origin,MSE,run_mean_MSE,origin_relative_to_run_mean_pct
ETTh1,42,0,0.569853773148749,0.4945819173970658,15.219289889899578
ETTh1,42,1,0.487918614905049,0.4945819173970658,-1.3472596262890213
ETTh1,42,2,0.4748013975446108,0.4945819173970658,-3.999442591139979
ETTh1,42,3,0.5091611450766086,0.4945819173970658,2.947788256447348
ETTh1,42,4,0.5397671817457073,0.4945819173970658,9.136052645524707
ETTh1,42,5,0.4852317870452882,0.4945819173970658,-1.8905119703903406
ETTh1,42,6,0.4800497435647251,0.4945819173970658,-2.9382743932131805
ETTh1,42,7,0.4785097714478856,0.4945819173970658,-3.249642856691215
ETTh1,42,8,0.4733823951247737,0.4945819173970658,-4.286352073659105
ETTh1,42,9,0.4694615783979296,0.4945819173970658,-5.079105829695907
ETTh1,42,10,0.4706313539297458,0.4945819173970658,-4.8425877746136266
ETTh1,42,11,0.4962142668337169,0.4945819173970658,0.33004632382072074
ETTh1,43,0,0.640240046430478,0.5283153243855209,21.18521210323321
ETTh1,43,1,0.5215436421369275,0.5283153243855209,-1.2817501094577244
ETTh1,43,2,0.4831966191269865,0.5283153243855209,-8.540109131040541
ETTh1,43,3,0.5064447935472134,0.5283153243855209,-4.139673757096651
ETTh1,43,4,0.5805227083225187,0.5283153243855209,9.881860609990788
ETTh1,43,5,0.4992153770572259,0.5283153243855209,-5.508064215653952
ETTh1,43,6,0.4934906099736507,0.5283153243855209,-6.591653280618825
ETTh1,43,7,0.5013076369167181,0.5283153243855209,-5.112039386746014
ETTh1,43,8,0.5008123193879079,0.5283153243855209,-5.205793534306702
ETTh1,43,9,0.5215447625292076,0.5283153243855209,-1.2815380405987842
ETTh1,43,10,0.5288481469395113,0.5283153243855209,0.10085313247540917
ETTh1,43,11,0.5626172302579044,0.5283153243855209,6.492695609819732
ETTh1,44,0,0.5382843015074735,0.49564729397994106,8.60228796674476
ETTh1,44,1,0.4713049900071673,0.49564729397994106,-4.911214944262143
ETTh1,44,2,0.4766998316049527,0.49564729397994106,-3.822771274073611
ETTh1,44,3,0.501833981025464,0.49564729397994106,1.2482035351883303
ETTh1,44,4,0.5360597572531626,0.49564729397994106,8.153471987856143
ETTh1,44,5,0.4980370672179092,0.49564729397994106,0.4821519792388651
ETTh1,44,6,0.4963193655375856,0.49564729397994106,0.1355947194320306
ETTh1,44,7,0.4895996449857254,0.49564729397994106,-1.2201517223375369
ETTh1,44,8,0.4814227526986145,0.49564729397994106,-2.8698918473066937
ETTh1,44,9,0.4797297350088383,0.49564729397994106,-3.2114689547254827
ETTh1,44,10,0.4795963033102949,0.49564729397994106,-3.2383896501805065
ETTh1,44,11,0.4988797976021046,0.49564729397994106,0.652178204425824
ETTh2,42,0,0.3059986936709169,0.27424659186863465,11.57793852092488
ETTh2,42,1,0.2846111990577119,0.27424659186863465,3.77930209394981
ETTh2,42,2,0.2795377370913285,0.27424659186863465,1.929338551353199
ETTh2,42,3,0.2737005941363532,0.27424659186863465,-0.1990900702033005
ETTh2,42,4,0.2671718917063744,0.27424659186863465,-2.579685717899116
ETTh2,42,5,0.2759704831107979,0.27424659186863465,0.6285916737988284
ETTh2,42,6,0.2656549931804647,0.27424659186863465,-3.1328005316782037
ETTh2,42,7,0.2644073697238748,0.27424659186863465,-3.587728138285451
ETTh2,42,8,0.2599540723279093,0.27424659186863465,-5.211557760240659
ETTh2,42,9,0.262925463022794,0.27424659186863465,-4.128083696027662
ETTh2,42,10,0.2706112636601991,0.27424659186863465,-1.3255691469729824
ETTh2,42,11,0.2804153417348911,0.27424659186863465,2.2493442212807135
ETTh2,43,0,0.3065281376651516,0.27023150368916016,13.43168116243858
ETTh2,43,1,0.2795066482708543,0.27023150368916016,3.432295811210495
