window,spectral_l1,dc_l1,non_dc_low_l1,low_band_l1,mid_band_l1,high_band_l1,prediction_mse
0,0.1556233235565401,0.5109283164236548,0.14762829049592088,0.19952829419988288,0.08389959281514803,0.17996473864233326,21.15866470336914
1,0.16681667611630463,0.4420221887518282,0.1546805454272806,0.19572935161650168,0.08877108775466398,0.20980797487006775,23.527097702026367
2,0.16883168227069967,0.43335817866391607,0.14818778482081724,0.18892641251268852,0.0896553176087235,0.2205281123881886,25.703336715698242
3,0.14700025689015606,0.43695214000175,0.13209176827639788,0.17564324995144817,0.09653521018865523,0.16609455382533872,22.576570510864258
4,0.13535236988260738,0.4502912240792474,0.11358185006009443,0.16168318920568772,0.09859566778371254,0.14447501731144508,19.59912109375
5,0.13965777875774532,0.47803380317697247,0.13058365862433022,0.18021939356042196,0.08943872668258702,0.14810803637116676,20.524259567260742
6,0.16288326995087407,0.5437018484433971,0.14366223762913602,0.20081075345974472,0.09947879905733566,0.18517563391245834,22.346694946289062
7,0.17308107267692155,0.4628849100867783,0.16100412143666157,0.20412994838667825,0.10043739803305408,0.20947652174426845,24.11675453186035
8,0.16946824472893285,0.44875928768005435,0.14499314768573238,0.18838831054206406,0.09580796268676507,0.21736593392933978,24.291868209838867
9,0.1436837243694713,0.44879739148002584,0.13441156154609457,0.17932382296522761,0.08831546195797121,0.1609458677082471,22.0955753326416
10,0.12913484737753622,0.43473392067787797,0.11878233937967814,0.16391827956513524,0.08049353651295428,0.1412604912198962,19.926738739013672
11,0.13871724949455733,0.46302959370438357,0.1365396049899432,0.18318103194914898,0.07391765960469132,0.15651108100042246,20.106882095336914
12,0.16913015157656494,0.5317604808667254,0.14813497649525983,0.2029386199768978,0.10109229363374712,0.1990808674262393,22.308103561401367
13,0.1816056067970614,0.4263066682155089,0.15873737763315574,0.1969615620020633,0.10998405455582949,0.23083800420376255,25.957439422607422
14,0.18077474909445765,0.42020231242543593,0.16136334568512664,0.19834034093374228,0.097667388739759,0.23812379654544497,28.67635154724121
15,0.15880099089292798,0.4176926136040503,0.14095131300744482,0.1804857845212456,0.10384430082564367,0.18791390027702382,24.86748504638672
16,0.14709655094997773,0.44591713273579225,0.11919047049103515,0.16586570795457187,0.10526954849565717,0.16727216571848838,20.548368453979492
17,0.1457852276569279,0.477015384334334,0.13035877680068508,0.1798811493054921,0.09724299141516253,0.15842575292597888,19.894315719604492
18,0.16598490566259358,0.5484663696849419,0.1417722484144386,0.19987140859593908,0.1141517380629452,0.18168823724560867,20.975536346435547
19,0.1748662046229755,0.4623055819250429,0.1510396231561343,0.19550618869454986,0.1092259106013316,0.21424147582928632,23.357341766357422
20,0.16962913019608009,0.4337355927956883,0.1405730257977813,0.18245339251176798,0.09315334508367126,0.2253242126432109,25.253173828125
21,0.15079812926390213,0.4031640584209556,0.13910242680177196,0.1768255170330839,0.09717123723591392,0.17494769549035774,26.182710647583008
22,0.13509522141885696,0.44238668292040717,0.12052259696626634,0.16650318067400072,0.08757470374907907,0.14919371003166176,23.052345275878906
23,0.136509578026547,0.46600018921194175,0.13849285778565099,0.18527961941797821,0.07660741679447088,0.14625018288711128,21.83326530456543
24,0.15667273082412328,0.5341685711957027,0.1501930010242091,0.20504665390585106,0.0882551487481656,0.17421093244407448,22.734636306762695
25,0.1729933802631731,0.47402705710479975,0.1614795786366717,0.20612921841783288,0.10211313103306636,0.20601973995418926,25.925973892211914
26,0.1781808851119452,0.42289053273010646,0.1694683078532906,0.20567148283569286,0.09893252452132206,0.22346892762046122,27.38414764404297
27,0.15268092802905625,0.3951530173400877,0.14427839722360747,0.18011762866881892,0.10685732626809455,0.16876946651010544,24.684513092041016
28,0.13801596197643662,0.42114032682841085,0.11843577912102297,0.16167928593636408,0.1052125891845033,0.14601350470444174,23.129314422607422
29,0.14063464923483956,0.4573421928669973,0.1281422186824403,0.1751707864230913,0.10105669024475274,0.14504624331144522,24.145017623901367
30,0.17037624940031534,0.5598320815787328,0.15339572795599868,0.21145806418781785,0.12274739915850633,0.17610490542283358,26.095806121826172
31,0.18347266687804523,0.5190978673692052,0.15780989904708542,0.20942246595024536,0.12980548917888302,0.20772537317663708,27.760812759399414
32,0.18084821481601565,0.5163072262573751,0.1461213359044923,0.19900503452633275,0.10731814270284049,0.22929981066851646,26.936477661132812
33,0.15356318391693125,0.48460275800932917,0.14728822572745703,0.19547601605343878,0.10046939594844209,0.16334652026991509,23.955894470214844
34,0.15506682805395963,0.5495092773824302,0.1668374629357027,0.22150486499952088,0.1046566603515972,0.14104244246616063,20.864246368408203
35,0.15849720298220982,0.5617086502804729,0.183077009664099,0.2371672440378667,0.09584099062597826,0.14448510287021266,20.113933563232422
36,0.16245160634930766,0.6080499759325848,0.1517755842899378,0.21695764023888736,0.09929312414937796,0.17002249862086394,20.783672332763672
37,0.18552718181047245,0.533497631970951,0.1609725345297838,0.21419040559280772,0.10734821946415032,0.22885345305396093,24.710237503051758
38,0.1804090307446309,0.45814319048261787,0.1601775619372128,0.20274408030084207,0.10102104444356443,0.23033035039637928,24.12079429626465
39,0.16078583762220908,0.4815229857062045,0.1398233759375869,0.18863760590453227,0.11068473177785002,0.18025400798899052,23.222068786621094
40,0.1589071456540732,0.5406307460914371,0.14370759308665024,0.20041090065876263,0.1136621095621537,0.1621807666053996,21.030881881713867
41,0.1588605078275209,0.6062439757233764,0.15126791263142195,0.2162644930731297,0.11290399414541574,0.1488439702094551,21.592313766479492
42,0.18021823742383417,0.6766222345826574,0.16730479313355762,0.24006442762628616,0.12587085297354486,0.17540678239069185,22.16511344909668
43,0.1985223587592599,0.6728528864141842,0.17833458326622229,0.24898005514450253,0.12161947897233057,0.22166189423573573,23.559768676757812
44,0.18578485400157874,0.6411353079574197,0.1684399280914968,0.23596783950091435,0.1071964651730195,0.21063958191464938,23.63653564453125
45,0.1608473531502103,0.562430161286012,0.16474826562321496,0.2215599650036145,0.09933233986799624,0.1615494544004189,24.7045955657959
46,0.15457587145169646,0.6071923037329108,0.16215254229728882,0.22572965107380627,0.09577271285192057,0.14376907805715428,22.96725845336914
47,0.14298169930563775,0.519861215250327,0.15059881900577748,0.203350589897856,0.0860004251588735,0.14001753491586555,21.609174728393555
48,0.15635697073739388,0.5429521308206811,0.13510064275504033,0.19336514105013186,0.09310713846488726,0.1793184249521914,22.894811630249023
49,0.17297406097821702,0.531185073187179,0.14371792063925695,0.19907037100324582,0.09775488903580164,0.2159565651559303,25.280256271362305
50,0.16931072281825738,0.4277834649974836,0.14307771472982625,0.183749964768063,0.1039158239115215,0.21389692265557136,23.553144454956055
51,0.14851338615774254,0.4077800819186749,0.1341165585775382,0.173211347626272,0.10300567575973951,0.16672191647103188,23.63373374938965
52,0.15136264376914335,0.4955335331569112,0.13413321321848495,0.18576183035254584,0.11150364412059835,0.15613998020114303,22.36084747314453
53,0.14595780602661115,0.5096186824653508,0.1300938820357409,0.18431171066854232,0.10183146229016514,0.1510086902343117,22.830366134643555
54,0.16214549007038948,0.5700008487334315,0.12720443538882023,0.19046106586662184,0.1052948793418428,0.1871136456361646,25.533628463745117
55,0.17859460708437602,0.5624592958744464,0.15024954765631351,0.20913665454461824,0.11052482938520959,0.21143137104343468,26.216928482055664
56,0.17114210006188063,0.48184355767283193,0.1471091372170246,0.19492834013928279,0.09832822886173408,0.214041277294282,22.857250213623047
57,0.14904568086713005,0.45191627292421066,0.1469800204215358,0.19054234220763222,0.0884351630640853,0.16577030527185474,22.06843376159668
58,0.15129410048935898,0.5448358838185947,0.15218257691135126,0.20827590646952893,0.09465044289777372,0.15099822064934745,18.899290084838867
