origin,MSE,MAE
0,0.5649361102028811,0.514439456865065
1,0.4845174263169154,0.48214520795141613
2,0.476421074788822,0.4812377398342932
3,0.5143807078047374,0.500284081589652
4,0.5490279230119597,0.5227174557622916
5,0.48945731999352804,0.4890751464388133
6,0.48406330833217576,0.485678277825963
7,0.4802049125132219,0.4832287345564858
8,0.47475650487416077,0.4800948060901996
9,0.4698447395400748,0.47724022279932377
10,0.47046251891161084,0.4775810163155351
11,0.4903521479303131,0.48705380061394343
