epoch,lambda,loss,L_pred,L_cons,scheduled_batches,scheduled_examples
1,0.1,0.5846232554431159,0.5696777633856113,0.1494549281953593,252,8033
2,0.1,0.5230613607747697,0.5102632694845106,0.12798091722565363,252,8033
3,0.1,0.49962014969001,0.48811384088355253,0.11506307867830871,252,8033
4,0.1,0.48260415841733834,0.47200840740531524,0.10595751904645863,252,8033
5,0.1,0.458271307746693,0.4488958190130917,0.09375487951257822,252,8033
6,0.1,0.43150038835967625,0.4230230371162275,0.08477351178106611,252,8033
7,0.1,0.40801498757995974,0.400552632509512,0.07462354175042471,252,8033
8,0.1,0.39159939677306016,0.38505210598067446,0.06547290069587527,252,8033
9,0.1,0.3779944114143104,0.37247570919527534,0.05518702483371588,252,8033
10,0.1,0.37103980863493524,0.36596745030752054,0.050723585094359216,252,8033
11,0.1,0.3659276416838043,0.3610891592052944,0.04838482985804227,252,8033
12,0.1,0.3606773098601687,0.35620061204544146,0.044766979841808746,252,8033
13,0.1,0.357997677816811,0.3536644234509482,0.0433325406690749,252,8033
14,0.1,0.3539865945287204,0.34986625603434607,0.04120336836010318,252,8033
15,0.1,0.35085403684748817,0.3467517132096045,0.04102324171472454,252,8033
